"Part";"Value";"Device";"Package";"Description";"BOM";"COMMISSIONED";"FUNCTION";"PART_CODE_BEL";"PART_CODE_EXT";"UPDATED";
"D903";"BAT48";"SINGLE_T_DO204/10";"T_DO204";"edited: Mario Blunk / Blunk electronic";"YES";"2014-09-03";"";"D_PAC_T_DO204_GRID_10mm_VAL_BAT48";"";"";
"D904";"BAT48";"SINGLE_T_DO204/10";"T_DO204";"edited: Mario Blunk / Blunk electronic";"YES";"2014-09-03";"";"D_PAC_T_DO204_GRID_10mm_VAL_BAT48";"";"";
"FD1401";"FIDUCIAL_CROSSHAIR";"FIDUCIAL_CROSSHAIR";"CROSSHAIR";"drawn: Mario Blunk / Blunk electronic";"NO";"2013-12-03";"";"";"";"";
"FD1402";"FIDUCIAL_CROSSHAIR";"FIDUCIAL_CROSSHAIR";"CROSSHAIR";"drawn: Mario Blunk / Blunk electronic";"NO";"2013-12-03";"";"";"";"";
"H1401";"HOLE_3.2_PAD";"HOLE_3.2_PAD";"3.2_PAD";"edited: Mario Blunk";"NO";"2015-01-15";"";"";"";"";
"H1402";"HOLE_3.2_PAD";"HOLE_3.2_PAD";"3.2_PAD";"edited: Mario Blunk";"NO";"2015-01-15";"";"";"";"";
"H1403";"HOLE_4.1_PAD";"HOLE_4.1_PAD";"4.1_PAD";"edited: Mario Blunk";"NO";"2014-10-13";"";"";"";"";
"H1404";"HOLE_4.1_PAD";"HOLE_4.1_PAD";"4.1_PAD";"edited: Mario Blunk";"NO";"2014-10-13";"";"";"";"";
"H1405";"HOLE_4.1_PAD";"HOLE_4.1_PAD";"4.1_PAD";"edited: Mario Blunk";"NO";"2014-10-13";"";"";"";"";
"H1406";"HOLE_4.1_PAD";"HOLE_4.1_PAD";"4.1_PAD";"edited: Mario Blunk";"NO";"2014-10-13";"";"";"";"";
"IC201";"XC2C384-10TQG144C";"XC2C384-XXTQG144X";"S_TQFP144";"drawn: Mario Blunk";"YES";"2015-02-05";"";"IC_PAC_S_TQFP144_VAL_XC2C384-10TQG144C";"";"";
"IC301";"LM1117T-ADJ";"LMXX17T";"T_TO220-3_VERTICAL";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"IC_PAC_T_TO220-3_VERTICAL_VAL_LM1117T-ADJ";"";"";
"IC401";"ULN2003D";"ULN2003D";"S_SO16";"edited: Mario Blunk";"YES";"2015-02-04";"";"IC_PAC_S_SO16_VAL_ULN2003D";"";"";
"IC402";"ULN2003D";"ULN2003D";"S_SO16";"edited: Mario Blunk";"YES";"2015-02-04";"";"IC_PAC_S_SO16_VAL_ULN2003D";"";"";
"IC801";"MAX517ACSA+";"MAX517XXSA";"S_SO8";"drawn: Mario Blunk";"YES";"2015-02-04";"";"IC_PAC_S_SO8_VAL_MAX517ACSA+";"";"";
"IC802";"MAX517ACSA+";"MAX517XXSA";"S_SO8";"drawn: Mario Blunk";"YES";"2015-02-04";"";"IC_PAC_S_SO8_VAL_MAX517ACSA+";"";"";
"IC901";"MAX962ESA+";"MAX962ESA";"S_SO8";"drawn: Mario Blunk";"YES";"2015-02-05";"";"IC_PAC_S_SO8_VAL_MAX962ESA+";"";"";
"IC1201";"ULN2003D";"ULN2003D";"S_SO16";"edited: Mario Blunk";"YES";"2015-02-04";"";"IC_PAC_S_SO16_VAL_ULN2003D";"";"";
"IC1202";"74HC4051D";"X4051D";"S_SO16";"drawn: Mario Blunk";"YES";"2015-02-05";"";"IC_PAC_S_SO16_VAL_74HC4051D";"";"";
"IC1203";"74HC4051D";"X4051D";"S_SO16";"drawn: Mario Blunk";"YES";"2015-02-05";"";"IC_PAC_S_SO16_VAL_74HC4051D";"";"";
"IC1301";"LM1117T-ADJ";"LMXX17T";"T_TO220-3_VERTICAL";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"IC_PAC_T_TO220-3_VERTICAL_VAL_LM1117T-ADJ";"";"";
"IC1302";"LM1117T-ADJ";"LMXX17T";"T_TO220-3_VERTICAL";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"IC_PAC_T_TO220-3_VERTICAL_VAL_LM1117T-ADJ";"";"";
"J201";"JUMPER_1X2-T-VERTICAL_GRID_2.54MM";"JUMPER_1X2-T-VERTICAL_GRID_2.54MM";"T_MALE_2X1_VERTICAL_GRID_2.54MM";"jumper device 1x2";"YES";"2013-08-30";"JTAG Vref";"J_PAC_T_MALE_2X1_VERTICAL";"";"";
"J1301";"";"SOLDER_JUMPER-N";"S_SOLDER_JUMPER_NARROW";"solder jumper device";"NO";"2013-08-30";"";"J_PAC_S_SOLDER_JUMPER_NARROW";"";"";
"J1302";"";"SOLDER_JUMPER-N";"S_SOLDER_JUMPER_NARROW";"solder jumper device";"NO";"2013-08-30";"";"J_PAC_S_SOLDER_JUMPER_NARROW";"";"";
"K501";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K502";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K503";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K504";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K505";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K506";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K507";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K508";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K509";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K510";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K511";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K512";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
"K513";"DIP05-2A72-21D";"RELAY_NDIP14";"T_NDIP14";"edited: Mario Blunk";"YES";"2015-02-03";"";"K_PAC_T_NDIP14_2xmaker_VAL_DIP05-2A72-21D";"";"";
