"Part";"Value";"Device";"Package";"Description";"BOM";"COMMISSIONED";"FUNCTION";"PART_CODE_BEL";"PART_CODE_EXT";"UPDATED";
"T1301";"DMG3420U";"N-MOSFET_S_SOT23";"S_SOT23";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"T_PAC_S_SOT23_VAL_DMG3420U";"";"";
"T1302";"DMG3420U";"N-MOSFET_S_SOT23";"S_SOT23";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"T_PAC_S_SOT23_VAL_DMG3420U";"";"";
"T1303";"DMG3420U";"N-MOSFET_S_SOT23";"S_SOT23";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"T_PAC_S_SOT23_VAL_DMG3420U";"";"";
"T1304";"DMG3420U";"N-MOSFET_S_SOT23";"S_SOT23";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"T_PAC_S_SOT23_VAL_DMG3420U";"";"";
"T1305";"DMG3420U";"N-MOSFET_S_SOT23";"S_SOT23";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"T_PAC_S_SOT23_VAL_DMG3420U";"";"";
"T1306";"DMG3420U";"N-MOSFET_S_SOT23";"S_SOT23";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"T_PAC_S_SOT23_VAL_DMG3420U";"";"";
"TP101";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP102";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP201";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP202";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP203";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP204";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP205";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP301";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP302";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP901";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP902";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP903";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP904";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP905";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP906";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1001";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1201";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1202";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1203";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1204";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1205";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1206";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1207";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1208";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1209";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1301";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1302";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1401";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1402";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
"TP1403";"";"TEST_POINT_T_SMALL";"T_TEST_POINT_SMALL";"test point device";"NO";"2013-08-30";"";"TP_PAC_T_TEST_POINT_SMALL";"";"";
